assists,faceoffWinPctg,gameWinningGoals,gamesPlayed,goals,otGoals,penaltyMinutes,playerBirthCity,playerBirthCountry,playerBirthDate,playerBirthStateProvince,playerDraftOverallPickNo,playerDraftRoundNo,playerDraftYear,playerFirstName,playerHeight,playerId,playerInHockeyHof,playerIsActive,playerLastName,playerName,playerNationality,playerPositionCode,playerShootsCatches,playerTeamsPlayedFor,playerWeight,plusMinus,points,pointsPerGame,ppGoals,ppPoints,seasonId,shGoals,shPoints,shiftsPerGame,shootingPctg,shots,timeOnIcePerGame
28,0.3157,8,80,41,0,20,Riverside,USA,1989-06-05,CT,157,6,2008,Cam,68,8474715,0,1,Atkinson,Cam Atkinson,USA,R,R,CBJ,179,3,69,0.8625,8,14,20182019,4,4,24.3875,0.1389,295,1162.675
54,0.47,2,77,28,2,26,North Chelmsford,USA,1996-10-28,MA,2,1,2015,Jack,74,8478403,0,1,Eichel,Jack Eichel,USA,C,R,BUF,200,-11,82,1.0649,8,26,20182019,0,0,22.8051,0.0924,303,1226.4805
42,0.4,4,82,28,0,8,Chelyabinsk,RUS,1989-03-12,,71,3,2007,Evgenii,71,8474149,0,1,Dadonov,Evgenii Dadonov,RUS,R,L,FLA,185,-6,70,0.8536,8,17,20182019,0,0,22.3658,0.1435,195,1102.2682
24,0.5272,3,82,18,0,24,Brantford,CAN,1990-02-06,ON,82,3,2008,Adam,72,8474641,0,1,Henrique,Adam Henrique,CAN,C,L,ANA,197,-5,42,0.5121,8,13,20182019,0,1,21.6097,0.1475,122,987.0731
26,0.4904,2,78,27,0,56,Victoria,CAN,1989-07-18,BC,129,5,2007,Jamie,74,8473994,0,1,Benn,Jamie Benn,CAN,L,L,DAL,205,14,53,0.6794,8,11,20182019,0,0,25.2307,0.1428,189,1093.6153
43,0.5706,5,80,33,1,34,Phoenix,USA,1992-12-07,AZ,8,1,2011,Sean,75,8476461,0,1,Couturier,Sean Couturier,CAN,C,L,PHI,211,2,76,0.95,8,17,20182019,1,1,26.7875,0.1479,223,1327.625
55,0.4186,1,82,21,1,12,Helsinki,FIN,1994-09-11,,18,1,2012,Teuvo,71,8476882,0,1,Teravainen,Teuvo Teravainen,FIN,L,L,CAR,191,30,76,0.9268,8,24,20182019,1,5,23.1463,0.1257,167,1075.0365
16,0.3181,1,73,22,0,32,Montreal,CAN,1990-10-01,QC,38,2,2009,Alex,76,8475163,0,1,Chiasson,Alex Chiasson,CAN,R,R,EDM,208,-1,38,0.5205,8,15,20182019,1,2,21.5342,0.1788,123,1018.2191
23,0.5215,7,82,40,3,36,Toronto,CAN,1992-05-16,ON,7,1,2010,Jeff,71,8475784,0,1,Skinner,Jeff Skinner,CAN,L,L,BUF,187,0,63,0.7682,8,16,20182019,0,0,20.9878,0.1492,268,1111.0853
23,0.44,1,67,25,1,30,Longueuil,CAN,1994-09-16,QC,20,1,2013,Anthony,77,8477511,0,1,Mantha,Anthony Mantha,CAN,R,L,DET,225,-8,48,0.7164,7,13,20182019,0,0,21.4328,0.1262,198,1069.6268
32,0.4764,5,82,24,0,16,Marsta,SWE,1993-01-08,,53,2,2011,William,73,8476448,0,1,Karlsson,William Karlsson,SWE,C,L,VGK,189,1,56,0.6829,7,14,20182019,1,3,21.1829,0.142,169,1130.817
24,0.375,2,79,28,0,57,Boxford,USA,1991-04-30,MA,19,1,2009,Chris,75,8475184,0,1,Kreider,Chris Kreider,USA,L,L,NYR,220,4,52,0.6582,7,12,20182019,0,0,22.5696,0.1393,201,1044.3544
14,0.1333,3,74,19,0,14,Pointe-Claire,CAN,1995-08-26,QC,80,3,2013,Anthony,71,8477407,0,1,Duclair,Anthony Duclair,CAN,L,L,"CBJ, OTT",191,-2,33,0.4459,7,8,20182019,0,0,17.3783,0.1439,132,762.054
18,0.45,5,78,19,0,17,Regina,CAN,1990-05-15,SK,22,1,2008,Jordan,71,8474586,0,1,Eberle,Jordan Eberle,CAN,R,R,NYI,187,-6,37,0.4743,7,12,20182019,0,0,19.4102,0.1187,160,991.6153
22,0.1428,4,64,28,1,26,Ostervala,SWE,1994-08-13,,11,1,2012,Filip,73,8476887,0,1,Forsberg,Filip Forsberg,SWE,L,R,NSH,205,8,50,0.7812,7,10,20182019,2,2,24.6406,0.129,217,1116.9843
