blockedShots,giveaways,playerName,takeaways,hits
20,19,Carl Hagelin,30,64
47,37,Brett Howden,28,64
32,13,Yannick Weber,7,64
55,21,Brad Richardson,27,63
8,1,Markus Hannikainen,15,63
40,14,Brandon Manning,7,63
38,22,Jean-Gabriel Pageau,21,63
132,135,Mike Matheson,64,63
34,40,Alex Galchenyuk,28,62
29,21,Bryan Little,36,62
63,38,Bo Horvat,28,62
139,50,Alex Pietrangelo,55,62
27,28,Jaden Schwartz,47,61
38,15,Korbinian Holzer,7,61
135,20,Jonas Brodin,29,61
114,94,Morgan Rielly,60,61
127,42,Jay Bouwmeester,25,61
64,53,Jake Gardiner,25,61
43,17,Matt Dumba,10,60
56,49,Mike Green,16,60
42,22,Nathan Beaulieu,9,60
8,12,Lias Andersson,14,60
39,17,Noah Juulsen,6,60
83,74,Alexander Radulov,43,60
20,43,Pavel Buchnevich,29,60
36,20,Andreas Johnsson,25,60
41,35,Mikko Rantanen,39,59
71,16,Anton Stralman,25,59
53,72,John Tavares,53,59
97,50,Victor Hedman,32,59
66,58,Anze Kopitar,57,59
55,12,Par Lindholm,30,58
144,65,Mark Giordano,73,58
15,60,Kevin Hayes,61,58
139,50,Jordan Oesterle,23,58
7,12,Ty Rattie,22,57
25,90,David Pastrnak,36,57
22,49,Michael Frolik,33,57
48,34,Igor Ozhiganov,11,57
26,116,Leon Draisaitl,71,57
43,29,Mats Zuccarello,38,57
45,84,Jonathan Huberdeau,43,57
40,20,Jordan Greenway,34,57
75,57,P.K. Subban,22,56
22,21,Calle Jarnkrok,25,56
28,21,Brendan Leipsic,22,56
32,88,Justin Williams,63,55
102,30,Ben Hutton,27,55
31,10,Colin Wilson,16,55
23,48,Jonathan Drouin,50,55
50,16,Alexander Steen,34,55
107,32,Josh Morrissey,33,55
9,6,Phillip Di Giuseppe,9,54
33,84,Evgeni Malkin,64,54
54,48,Mark Scheifele,74,54
164,87,John Carlson,55,54
36,32,Danton Heinen,43,54
31,64,Nathan MacKinnon,48,54
82,74,Tony DeAngelo,21,54
38,39,Ryan Dzingel,25,54
30,62,Nicklas Backstrom,53,54
28,27,Mikkel Boedker,25,54
16,7,Jake Dotchin,4,54
48,7,Slater Koekkoek,4,54
17,8,Michael Chaput,7,53
75,41,Marco Scandella,16,53
25,25,Brett Connolly,33,53
39,70,Max Domi,47,53
44,32,Nico Hischier,38,53
60,52,Torey Krug,20,53
144,65,Roman Josi,36,53
25,12,Trevor Lewis,12,53
131,30,Brett Pesce,54,53
64,44,Tomas Hertl,57,53
25,36,Brandon Saad,35,52
33,19,Tyler Bozak,30,52
26,55,Mikael Backlund,78,52
13,17,David Perron,41,52
83,45,Rasmus Andersson,24,52
14,7,Teddy Blueger,6,52
55,47,Brock Nelson,54,51
25,9,Paul LaDue,2,51
34,11,Marcus Kruger,17,51
22,14,Brendan Perlini,11,51
55,41,William Karlsson,73,51
32,32,Tyler Johnson,13,50
51,44,Derek Stepan,50,50
26,11,Matt Nieto,19,50
43,18,Jason Demers,14,50
19,17,Drew Stafford,15,50
26,30,Darren Helm,33,50
21,9,Bogdan Kiselevich,4,49
71,25,Zach Parise,22,49
14,21,Tyler Ennis,19,49
4,0,Mackenzie MacEachern,6,49
15,7,Adam Gaudette,10,48
68,49,Vince Dunn,18,48
41,16,Tom Kuhnhackl,8,48
15,17,Brett Seney,17,48
53,56,Mike Reilly,13,48
37,14,Zach Sanford,31,48
37,26,Henri Jokiharju,7,48
35,8,Tyson Jost,29,48
93,41,Tyson Barrie,28,48
76,110,Keith Yandle,27,47
32,50,Jakub Vrana,41,47
8,2,Zac Rinaldo,4,47
18,15,Andy Welinski,6,47
19,35,James Neal,11,46
60,39,Matt Grzelcyk,28,46
20,62,Evgeny Kuznetsov,46,46
102,53,Shayne Gostisbehere,20,46
40,34,Mikael Granlund,47,46
19,84,Brad Marchand,59,46
24,9,Markus Granlund,32,46
26,29,Jesse Puljujarvi,20,46
11,36,Pontus Aberg,15,45
187,46,Niklas Hjalmarsson,32,45
10,8,Saku Maenalanen,12,45
133,65,Travis Sanheim,20,45
24,27,Jake DeBrusk,42,45
21,12,Juho Lammikko,12,45
102,51,Oscar Klefbom,26,44
32,7,Steven Kampfer,12,44
31,89,Nikita Kucherov,58,44
69,63,Erik Karlsson,59,44
36,19,Casey Nelson,5,44
23,32,Josh Leivo,37,44
167,62,Travis Hamonic,37,44
17,11,Andrew Mangiapane,16,43
34,14,Oliver Bjorkstrand,31,43
40,16,Sean Walker,14,43
39,9,Joakim Ryan,11,43
60,27,Patrice Bergeron,42,43
1,5,Ross Johnston,2,43
77,79,John Klingberg,26,42
8,13,Philippe Myers,7,42
44,52,Jonathan Toews,72,42
51,52,Elias Pettersson,41,42
144,73,Duncan Keith,33,42
20,68,Kevin Fiala,44,42
11,3,Joey Anderson,12,42
26,98,Mike Hoffman,48,42
84,35,Trevor van Riemsdyk,28,42
