"assists","faceoffWinPctg","gameWinningGoals","gamesPlayed","goals","otGoals","penaltyMinutes","playerBirthCountry","playerBirthYear","playerDraftRoundNo","playerHeight","Player","playerPositionCode","playerShootsCatches","playerWeight","plusMinus","points","pointsPerGame","ppGoals","ppPoints","shGoals","shPoints","shiftsPerGame","shootingPctg","shots","timeOnIcePerGame","playerDrafted","Forward","LeftHand","blockedShots","giveaways","takeaways","hits","Tm","Salary","Cap.Hit"
10,0.4398,5,82,15,0,38,"CAN",1992,2,72,"Jordan Martinook","L","L",196,1,25,0.3048,0,0,1,1,21.1585,0.1027,146,869.1463,1,1,1,46,30,53,199,"CAR",1.85,1800000
12,0.4117,1,67,6,0,32,"AUT",1988,NA,72,"Michael Raffl","L","L",200,-1,18,0.2686,0,0,1,1,16.1641,0.0923,65,684.9253,0,1,1,29,20,28,96,"PHI",2.35,2350000
26,0,0,82,3,0,33,"RUS",1991,2,71,"Dmitry Orlov","D","L",212,3,29,0.3536,0,1,0,0,23.3414,0.0297,101,1298.1829,1,0,1,103,80,53,137,"WSH",6.5,5100000
41,0.5554,1,81,12,0,39,"CAN",1993,1,73,"Phillip Danault","C","L",198,17,53,0.6543,0,4,0,2,24.9012,0.0909,132,1066.6419,1,1,1,60,53,49,95,"MTL",3,3083333
7,0,0,54,4,0,14,"CAN",1988,NA,73,"Taylor Fedun","D","R",201,2,11,0.2037,0,2,0,1,20.3888,0.0465,86,831.4444,0,0,0,58,37,14,19,"DAL",0.65,650000
11,0.5761,3,78,12,0,33,"USA",1993,3,77,"Adam Lowry","C","L",210,6,23,0.2948,0,0,1,3,21.641,0.1142,105,878.2948,1,1,1,49,23,42,223,"WPG",3.5,2916666
15,0.3619,1,53,5,0,6,"USA",1993,6,71,"Travis Boyd","C","R",185,6,20,0.3773,0,2,0,0,13.1132,0.1428,35,589.6981,1,1,0,21,15,14,13,"WSH",0.8,8e+05
8,0.5065,0,73,6,0,37,"SWE",1992,2,71,"Johan Larsson","C","L",202,-8,14,0.1917,0,0,1,1,18.9041,0.0759,79,857.5616,1,1,1,44,22,29,112,"BUF",1.55,1475000
9,0,0,61,1,0,27,"SVK",1996,5,75,"Christian Jaros","D","R",201,-14,10,0.1639,0,2,0,0,21.2131,0.0153,65,862.0327,1,0,0,82,40,17,110,"OTT",0.73,755000
16,0.4285,2,67,6,2,23,"CAN",1995,1,74,"Jason Dickinson","C","L",200,9,22,0.3283,0,0,0,0,20.7761,0.0638,94,802.4029,1,1,1,50,26,30,106,"DAL",0.875,875000
11,0.2,0,67,0,0,8,"DEU",1993,4,71,"Tobias Rieder","R","L",186,-8,11,0.1641,0,2,0,0,18.2089,0,92,758.6417,1,1,1,44,12,35,69,"EDM",2,2e+06
6,0,0,62,2,0,18,"CHE",1988,3,71,"Yannick Weber","D","R",200,7,8,0.129,0,0,0,0,16.758,0.0298,67,714.7903,1,0,0,32,13,7,64,"NSH",0.65,675000
5,0.4761,3,77,10,0,20,"CAN",1996,3,74,"Warren Foegele","L","L",198,-17,15,0.1948,0,0,0,0,18.3376,0.0943,106,749.6233,1,1,1,19,31,36,126,"CAR",0.73,746667
19,0.2777,2,75,14,1,44,"SVK",1991,2,73,"Richard Panik","R","L",208,-3,33,0.44,0,2,1,1,23.0666,0.1,140,996.5066,1,1,1,52,39,46,137,"ARI",2.8,2800000
8,0.5714,0,53,5,0,10,"USA",1993,2,66,"Rocco Grimaldi","C","R",180,-2,13,0.2452,0,0,0,0,14.0943,0.0617,81,600.3773,1,1,0,20,15,27,32,"NSH",0.65,650000
8,0.4666,5,76,11,0,56,"USA",1991,NA,74,"Garnet Hathaway","R","R",210,14,19,0.25,0,0,2,2,15.2631,0.1428,77,631.5921,0,1,0,36,29,23,200,"CGY",0.85,850000
7,0.4166,1,41,9,1,8,"AUT",1987,1,73,"Michael Grabner","R","L",188,-2,16,0.3902,0,0,6,9,21.9024,0.1384,65,863.439,1,1,1,15,19,31,28,"ARI",2.5,3350000
10,0,0,59,4,0,35,"USA",1993,2,73,"Jake McCabe","D","L",206,-4,14,0.2372,0,0,1,1,23.1186,0.0625,64,1136.6949,1,0,1,99,32,20,103,"BUF",1.775,1600000
5,0.6666,1,44,8,0,12,"CAN",1996,6,70,"Andrew Mangiapane","L","L",184,11,13,0.2954,0,0,0,0,14.8409,0.123,65,632.6363,1,1,1,17,11,16,43,"CGY",0.73,705000
14,0,1,78,3,0,40,"CAN",1983,1,76,"Jay Bouwmeester","D","L",206,-3,17,0.2179,0,0,0,0,26.6282,0.0365,82,1243.8333,1,0,1,127,42,25,61,"STL",5.4,5400000
16,0.4262,0,82,10,0,20,"CAN",1994,2,72,"Brock McGinn","L","L",187,10,26,0.317,0,0,1,1,20.7317,0.0813,123,858.5731,1,1,1,38,30,54,137,"CAR",0.9,887500
26,0.5,0,75,6,0,28,"RUS",1998,1,75,"Mikhail Sergachev","D","L",215,12,32,0.4266,0,6,0,0,21.3733,0.0468,128,1075.4,1,0,1,93,50,18,97,"TBL",0.925,894166
14,0.4137,1,81,11,0,67,"CAN",1997,1,76,"Lawson Crouse","L","L",220,5,25,0.3086,0,0,2,2,19.7901,0.0839,131,776.8518,1,1,1,44,23,25,288,"ARI",0.8325,894167
16,0,0,65,3,0,52,"USA",1990,1,75,"Zach Bogosian","D","R",226,-5,19,0.2923,0,1,1,1,24.2153,0.0322,93,1297.6,1,0,0,116,46,17,83,"BUF",6,5142857
25,0.4875,4,72,10,0,14,"DNK",1984,3,73,"Frans Nielsen","C","L",188,-7,35,0.4861,0,8,0,1,22.7916,0.0833,120,1000.7638,1,1,1,44,35,18,79,"DET",6,5250000
7,0.4733,0,39,3,0,4,"CAN",1993,7,69,"Matthew Peca","C","L",182,-14,10,0.2564,0,0,0,1,15.2307,0.0857,35,631.4615,1,1,1,21,12,12,33,"MTL",1.3,1300000
12,0,1,69,7,0,33,"CAN",1990,2,74,"Travis Hamonic","D","R",205,21,19,0.2753,0,0,1,3,25.4782,0.0546,128,1251.942,1,0,0,167,62,37,44,"CGY",4.875,3857143
19,0,1,82,7,0,32,"RUS",1997,1,73,"Ivan Provorov","D","L",201,-16,26,0.317,0,2,0,0,28.8902,0.0482,145,1506.7195,1,0,1,149,92,16,123,"PHI",0.8325,894167
11,0.372,2,55,12,0,28,"CAN",1994,NA,70,"Drake Caggiula","C","L",176,-5,23,0.4181,0,0,1,1,18.9454,0.125,96,865.709,0,1,1,26,22,18,135,"CHI",1.5,1500000
5,0.384,3,70,7,1,13,"SWE",1992,3,73,"Joakim Nordstrom","C","L",194,0,12,0.1714,0,0,0,0,18.5714,0.0679,103,808.8142,1,1,1,52,19,26,86,"BOS",0.9,1e+06
18,1,0,81,5,0,21,"USA",1981,1,75,"Ron Hainsey","D","L",205,30,23,0.2839,0,0,1,1,26.9259,0.0617,81,1215.358,1,0,1,144,74,31,91,"TOR",2.4,3e+06
11,0.4529,0,55,9,0,28,"SWE",1991,2,73,"Oscar Lindberg","L","L",202,4,20,0.3636,0,1,0,0,16.2909,0.0989,91,748.4545,1,1,1,27,25,22,104,"OTT",1.8,1700000
14,0,2,60,4,0,8,"USA",1987,4,73,"Alec Martinez","D","L",209,-2,18,0.3,0,2,0,0,26.3,0.0512,78,1281.7833,1,0,1,135,70,12,78,"LAK",4.05,4e+06
7,0.2857,0,71,11,0,27,"USA",1997,2,74,"Christian Fischer","R","R",214,-13,18,0.2535,0,0,0,0,18.7605,0.0948,116,790.169,1,1,0,19,12,12,124,"ARI",0.815,821666
27,0,0,62,3,0,26,"USA",1990,1,74,"Jake Gardiner","D","L",203,19,30,0.4838,0,5,0,0,26.3709,0.0384,78,1272.8387,1,0,1,64,53,25,61,"TOR",4.05,4050000
9,0.3913,0,50,7,0,14,"CHE",1997,4,69,"Denis Malgin","C","R",177,-10,16,0.32,0,1,0,0,18.88,0.106,66,773.36,1,1,0,21,15,16,40,"FLA",0.715,690000
2,0.2413,0,54,3,0,27,"USA",1995,3,75,"John Hayden","R","R",215,-12,5,0.0925,0,0,0,0,13.1851,0.0714,42,549.6666,1,1,0,23,9,15,97,"CHI",0.7,750000
13,0.4927,0,62,7,0,12,"CAN",1989,NA,74,"Carter Rowney","C","R",206,0,20,0.3225,0,0,1,1,18.0161,0.132,53,753.0645,0,1,0,35,26,22,178,"ANA",1.4,1133333
8,0.5381,0,78,5,0,17,"USA",1984,6,73,"Nate Thompson","C","L",207,-1,13,0.1666,0,0,0,0,19.7692,0.0704,71,780.2051,1,1,1,44,23,31,87,"MTL",1.65,1650000
2,0.4444,0,32,3,0,16,"CAN",1994,5,70,"Charles Hudon","L","L",196,-9,5,0.1562,0,1,0,0,15.2812,0.06,50,700.375,1,1,1,9,14,9,73,"MTL",0.65,650000
14,0,0,41,2,0,22,"CAN",1988,5,70,"Alex Biega","D","R",199,0,16,0.3902,0,1,0,0,24.1707,0.0219,91,1060.2682,1,0,0,43,17,4,101,"VAN",0.95,825000
7,0.4043,1,56,5,0,18,"USA",1996,5,73,"Adam Gaudette","C","R",170,-8,12,0.2142,0,2,0,0,16.0178,0.0909,55,656.9464,1,1,0,15,7,10,48,"VAN",0.925,916666
6,0,0,80,1,0,41,"USA",1990,5,75,"Greg Pateryn","D","R",223,-11,7,0.0875,0,0,0,0,20.9375,0.01,100,1027.2375,1,0,0,118,17,14,144,"MIN",1.75,2250000
